FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  1       -3.3443002529      -1.1927679684      -0.2957818892
FINAL HEAT OF FORMATION =     -1513.8644070971  time =       1.8000000000
  6        4.2351814136      -7.3816906898      -4.1812230336
  6       -2.8806626666       7.2574680754       0.1973885890
  7       -1.2255707542       3.6140798043       0.1001299692
  1        0.1779247825      -1.2157636040       0.7127741348
  1        0.4438301795      -0.2219345254       0.3030629359
  6       -0.8870067933       0.9301874142       1.4916922595
  8        1.6127957121       0.1264939922      -0.7616076871
  7       -5.8829795613      -3.5455055194      -0.3933187163
  6        8.2528608818       3.4540667677       4.5363064114
  7       -0.7182580086      -2.3162767047      -1.1629917021
  1        0.4307630295       0.1461118884      -0.1546820811
  1       -0.2902163156       0.2103871393      -0.4505663493
  1       -3.2686618991      -1.0576240381      -0.2369647303
FINAL HEAT OF FORMATION =     -1513.8644223784  time =       1.9000000000
  6        4.1756267484      -7.4718116405      -4.1682753134
  6       -2.8752755448       7.2450744177       0.1372858343
  7       -1.2470370860       3.5660378188       0.1266804235
  1        0.1950587942      -1.1990022044       0.6930678988
  1        0.4353783445      -0.2268110622       0.2666738739
  6       -0.8414481307       0.9335910240       1.4650913203
  8        1.5641684685       0.1205380666      -0.7370601836
  7       -5.8231024784      -3.5046590146      -0.3958114316
  6        8.1790315569       3.3936213732       4.5346310689
  7       -0.6820813407      -2.2825442896      -1.1955149581
  1        0.3672895781       0.1227543489      -0.1402298959
  1       -0.2585860350       0.2228762690      -0.4093035422
  1       -3.1890228749      -0.9196651072      -0.1772350948
FINAL HEAT OF FORMATION =     -1513.8644374070  time =       2.0000000000
  6        4.1117628209      -7.5616260098      -4.1517629095
  6       -2.8691952441       7.2315705157       0.0742978497
  7       -1.2684196165       3.5160974967       0.1533958782
  1        0.2128352590      -1.1813189122       0.6724724604
  1        0.4267290088      -0.2319049308       0.2290089938
  6       -0.7940801350       0.9370081608       1.4373526298
  8        1.5134997993       0.1143554416      -0.7114663205
  7       -5.7593836296      -3.4615265676      -0.3988471864
  6        8.1006200503       3.3296430946       4.5331352485
  7       -0.6445237837      -2.2472185313      -1.2287648277
  1        0.3016496120       0.0985156552      -0.1253004824
  1       -0.2259923595       0.2358856259      -0.3666524357
  1       -3.1055017820      -0.7794810388      -0.1168688981
FINAL HEAT OF FORMATION =     -1513.8644522295  time =       2.1000000000
  6        4.0437942648      -7.6508701694      -4.1312239603
  6       -2.8626437754       7.2171858214       0.0083162437
  7       -1.2895561285       3.4643721651       0.1800971097
  1        0.2312167260      -1.1627179990       0.6510121331
  1        0.4179213902      -0.2372052610       0.1901880968
  6       -0.7449970081       0.9404129866       1.4085156570
  8        1.4608782619       0.1079613101      -0.6848670724
  7       -5.6917362770      -3.4160998865      -0.4024849165
  6        8.0175433066       3.2621100825       4.5318477095
  7       -0.6056952691      -2.2103475965      -1.2625607893
  1        0.2340709235       0.0734654224      -0.1099509903
  1       -0.1925616693       0.2493872759      -0.3227552305
  1       -3.0182347457      -0.6376541517      -0.0561339906
FINAL HEAT OF FORMATION =     -1513.8644666098  time =       2.2000000000
  6        3.9714928635      -7.7390116653      -4.1066010290
  6       -2.8553931788       7.2018668380      -0.0603749442
  7       -1.3102836229       3.4109803826       0.2066005340
  1        0.2501644050      -1.1432044420       0.6287125358
  1        0.4089955121      -0.2427014061       0.1503391553
  6       -0.6942954274       0.9437786677       1.3786193342
  8        1.4063940537       0.1013709507      -0.6573042945
  7       -5.6200711835      -3.3683707734      -0.4067852952
  6        7.9297163840       3.1910003191       4.5307986021
  7       -0.5657156237      -2.1719836063      -1.2967106757
  1        0.1647976942       0.0476785766      -0.0942432417
  1       -0.1584274603       0.2633513188      -0.2777624151
  1       -2.9273744158      -0.4947551604       0.0047117339
FINAL HEAT OF FORMATION =     -1513.8644804252  time =       2.3000000000
  6        3.8949798853      -7.8254428502      -4.0775038173
  6       -2.8475490037       7.1854671280      -0.1318379432
  7       -1.3304390540       3.3560428134       0.2327178583
  1        0.2696385706      -1.1227841024       0.6056007216
  1        0.3999920286      -0.2483807020       0.1095978792
  6       -0.6420766319       0.9470773259       1.3477040781
  8        1.3501411686       0.0946005532      -0.6288213346
  7       -5.5442973483      -3.3183315313      -0.4118122590
  6        7.8370534666       3.1162932341       4.5300198153
  7       -0.5247138635      -2.1321825052      -1.3310094387
  1        0.0940908556       0.0212351496      -0.0782436718
  1       -0.1237308231       0.2777456807      -0.2318332035
  1       -2.8330892508      -0.3513401938       0.0654213155
FINAL HEAT OF FORMATION =     -1513.8644936070  time =       2.4000000000
  6        3.8141267726      -7.9097261185      -4.0438345161
  6       -2.8389496762       7.1679910221      -0.2058584752
  7       -1.3498617726       3.2996830228       0.2582566268
  1        0.2895986284      -1.1014638082       0.5817050077
  1        0.3909532227      -0.2542304263       0.0681083576
  6       -0.5884441530       0.9502799543       1.3158109136
  8        1.2922156412       0.0876671749      -0.5994624246
  7       -5.4643224061      -3.2659753053      -0.4176323607
  6        7.7394673568       3.0379686873       4.5295452082
  7       -0.4828289546      -2.0910032248      -1.3652405650
  1        0.0222273366      -0.0057798351      -0.0620233256
  1       -0.0886197817       0.2925362363      -0.1851344158
  1       -2.7355622141      -0.2079473795       0.1257599691
FINAL HEAT OF FORMATION =     -1513.8645061771  time =       2.5000000000
  6        3.7289974717      -7.9913455293      -4.0051954473
  6       -2.8296094801       7.1493431086      -0.2825384406
  7       -1.3683935265       3.2420262306       0.2830224650
  1        0.3100031438      -1.0792513108       0.5570549035
  1        0.3819220578      -0.2602366482       0.0260212927
  6       -0.5335050313       0.9533570120       1.2829804490
  8        1.2327153049       0.0805871663      -0.5692726734
  7       -5.3800531035      -3.2112961623      -0.4243142158
  6        7.6368705386       2.9560082648       4.5294104236
  7       -0.4402084617      -2.0485082928      -1.3991763259
  1       -0.0505004407      -0.0332764432      -0.0456578153
  1       -0.0532490423       0.3076866173      -0.1378408689
  1       -2.6349894309      -0.0650940131       0.1855062535
FINAL HEAT OF FORMATION =     -1513.8645180502  time =       2.6000000000
